Code,Full_Title,Short_Title,Credits,Level,Aim,Department,Indicative_Content,Learning_Outcomes,Assessment_Criteria
A02381,Computational Environments and Toolchains,Computational Env & Toolchains,5,Intermediate,"This is a practical module that requires the student to build, configure and manage computer systems and environments necessary for modern technologies.",Science,"Linux overview: OS fundamentals; distributions; commonly used applications & tools, shell scripting
Operating systems resources and virtualisation: file systems, virtual machines, hypervisors, resource and configuration management
Introduction to computational science: survey of various computational tools (e.g. Python-based) used in exploring and analysing data in physics
Networking services: IP addressing, DNS, DHCP, NAT
Security: encryption, authentication, public key infrastructure
Concepts and applications of parallel and distributed programs: process interaction using shared variables and message passing; parallel computing; development of correct programs; general problem solving techniques; scientific computing; distributed systems; programming on multiple processor machines","Build, configure and manage secure network infrastructure services.
Use the Unix/Linux terminal interface, such as for data retrieval, text file manipulation, and scripting.
Use a variety of Web-based and other computational resources and applications for retrieving and analysing data from scientific repositories (Open Access Directory).
Develop solutions to problems in the retrieval and analysis of scientific data using modern programming languages (such as Python).
Construct a pipeline of different programs that automates collation, analysis, and reporting of data.","<40%: Very little knowledge and understanding of Computational Environments and Toolchains. Unable to carry out critical thinking or practical skills.
40%-49%: Demonstrate a limited knowledge of Computational Environments and Toolchains. May have some problems with critical thinking and problem solving. Adequate practical skills.
50%-59%: Demonstrate satisfactory general knowledge of the main issues within Computational Environments and Toolchains. Good practical skills.
60%-69%: Demonstrate skilled and sound knowledge of the subject matter. Show ability to analyse and logically discuss in an effective way. Good critical thinking and a high level of competence and efficiency in theoretical and practical areas of this subject.
70%-100%: All of the above to an excellent level. Demonstrate authoritative handling of material and ability to develop innovative solutions to problems that rise in the configuration and management of Computational environments."
A03807,Embedded Systems,Embedded Systems,5,Introductory,In this module students will learn how to develop embedded real-time software applications for modern microcontrollers intended for the control of industrial processes and mechatronic systems.,Computing and Mathematics,"C Programming basics: Language features; Functions; Data Types; Structures; Pointers; Bit Manipulation
Interfacing Principles: I/O types; Memory-mapped I/O; Control and Status Registers
Digital I/O: Direction and Data Registers; Switch debouncing; Output control
Timers and Counters
Analogue Inputs: Sampling theorem; Analogue-to-Digital Converter
Analogue Outputs: Pulse Width Modulation (PWM)
Microcontroller architecture","Define the interfacing requirements for controlling an industrial process.
Apply a control system software design to a common micro-controller.
Code a microcontroller software system using C.
Test and debug embedded control software on common microcontrollers.","<40%: Inability to develop simple software designs from user requirements.
40%-49%: Able to specify interfacing and software requirements for simple discrete control systems.
50%-59%: All the above and in addition be able to implement microcontroller-based solutions.
60%-69%: In addition, be able to develop optimised designs for a common micro-controller.
70%-100%: All previous to an excellent level. Be able to demonstrate an awareness of software quality and performance considerations when developing embedded software applications."
A03902,Programming Fundamentals 2,Programming Fundamentals 2,5,Introductory,"The purpose of this module is to further develop the thought processes, problem solving techniques and programming structures essential for developing larger systems responsible for more complex tasks. The module will focus on developing maintainable, robust, persistent applications that are consistent with user interaction (UI) best practice.",Computing and Mathematics,"Use of complex constructs and data structures associated with the chosen language
Introduction to UI
Programming for persistence
Programming techniques for well-behaved, robust applications
Use of Test Driven Development (TDD) approaches
Read, understand and consume the Application Programming Interface (API) specific to the chosen language
Use of innovative visualisation tools, Integrated Development Environments (IDEs) and frameworks","Apply problem-solving strategies to various computing problems of increasing complexity.
Plan, code, test and document applications using advanced programming constructs and data structures.
Construct applications consistent with UI best practice.
Construct persistent applications.
Apply maintainability and robustness when designing applications.","<40%: Inability to design, develop and test maintainable, persistent, robust UI applications to solve a particular problem.
40%-49%: Ability to design, develop and test maintainable, persistent, robust UI applications to solve a straight-forward problem.
50%-59%: Comfortable with designing, developing and testing maintainable, persistent, robust UI applications to solve problems similar to those presented in the module.
60%-69%: Proficient with designing, developing and testing maintainable, persistent, robust, high-quality UI applications to solve complex problems.
70%-100%: Proficient with designing, developing and testing maintainable, persistent, robust, high-quality, elegant UI applications to solve complex problems that are substantially different to those studied in the module."
A04231,Electronic Engineering Project Specification,Electronic Eng Proj Spec,5,Advanced,"The aim of the final year project subject is to augment the theoretical material, covered in the course, by exposing the student to circuit design and software development in a work laboratory environment. The benefits derived from co-operating with industry are recognised and where possible industrial based projects will be considered for assigning as student projects. In this semester, the students are encouraged to follow safe systems and working practices and to apply appropriate management techniques (personal and institute resource management, deciding achievable goals and sticking to them, etc.) and to develop their knowledge of the chosen topic, by performing literature and Internet searches and interviewing appropriate staff.",Engineering Technology,"Projects are selected in collaboration with industry, based on research themes carried out by researchers at postgraduate level, in collaboration with other academic institutions and on occasion at the suggestion of the student themselves.
Literature Research (Periodicals, IEEE search engines, Internet)
Project Management (appraise the problem, break into constituent parts, identify milestones, based on time, difficulty, other resources available and overall ability to achieve the goals)
Early Milestones
Presentation through seminar / report on progress","Perform a thorough literature search including on-line scientific engineering databases, in a given area and compile the salient expressions, synopses, alternative techniques and their own proposed approach
Write realistic goals, based on available resources, difficulty of tasks and required learning/existing abilities for the milestones required to finally complete a project
Defend a proposed course of action, based on rational reasoning, resources and abilities
Present a project context, status quo and projected outcome to peers and staff in an open forum/seminar
Organise component orders, within the project budget and complying with the Institute's process for placing orders and recognising suppliers.
Develop and maintain a professional relationship with the supervisor and maintain a log of meetings","70% - 100%: The learner has: attained the module learning outcomes at an excellent level; demonstrated a comprehensive knowledge of the associated subject matter; achieved an excellent level of the skills required for the subject matter; demonstrated the ability to carry out further investigation and problem solving associated with the subject matter.
60% - 69%: The learner has: attained the module learning outcomes at a very good level; demonstrated a detailed knowledge of the associated subject matter; achieved a very good level of the skills required for the subject matter.
50% - 59%: The learner has: attained the module learning outcomes at a good level; demonstrated a good knowledge of the associated subject matter; achieved a good level of the skills required for the subject matter.
40% - 49%: The learner has: attained the module learning outcomes at a basic level; demonstrated a basic knowledge of the associated subject matter; achieved a basic level of the skills required for the subject matter.
<40%: The learner has not: attained the module learning outcomes; demonstrated sufficient knowledge of the associated subject matter; demonstrated a sufficient level of the skills required for the subject matter."
A04587,Analogue Electronic Devices,Analogue Electronic Devices,5,Introductory,"This module is structured to provide students with a comprehensive introduction to analogue electronics. Fundamental semiconductor junction operation and fabrication techniques are introduced along with central analogue devices such as diodes, BJT transistors and FET transistors.",Engineering Technology,"Fundamental Semiconductor devices theory
PN junction Operation and Characteristics
LED's, varactor diodes, zener diodes, photodiodes
BJT, JFET and MOSFET Transistor operation and characteristics
Shockly diodes, SCR's. DIAC's, TRIAC's","Describe the critical properties of semi-conductor material
Summarise the operation and characteristics of PN Junction based devices
Summarise the operation and characteristics of BJT and Field Effect transistors
Analyse fundamental d.c circuit operation for PN junction based devices and transistor type devices
Produce suitable circuit designs for basic switch type circuits.
Construct and document the operation of basic diode and transistor circuitry in a laboratory setting","70% - 100%: The learner has: attained the module learning outcomes at an excellent level; demonstrated a comprehensive knowledge of the associated subject matter; achieved an excellent level of the skills required for the subject matter; demonstrated the ability to carry out further investigation and problem solving associated with the subject matter.
60% - 69%: The learner has: attained the module learning outcomes at a very good level; demonstrated a detailed knowledge of the associated subject matter; achieved a very good level of the skills required for the subject matter.
50% - 59%: The learner has: attained the module learning outcomes at a good level; demonstrated a good knowledge of the associated subject matter; achieved a good level of the skills required for the subject matter.
40% - 49%: The learner has: attained the module learning outcomes at a basic level; demonstrated a basic knowledge of the associated subject matter; achieved a basic level of the skills required for the subject matter.
<40%: The learner has not: attained the module learning outcomes; demonstrated sufficient knowledge of the associated subject matter; demonstrated a sufficient level of the skills required for the subject matter."
A04588,Analogue Electronic Circuits 1,Analogue Electronic Circuits 1,5,Introductory,This module follows on from Analogue Electronic Devices and builds on concepts introduced there. Equivalent circuit representations are used to help understanding of device/circuit operation under d.c. and a.c. conditions. SCR based power control circuits are developed. Operational amplifiers are introduced for linear circuit applications and sine wave oscillation theory is developed.,Engineering Technology,"Diode Circuit Design and Application
BJT Circuit Design and Application
BJT Circuit Models
FET Circuit Design and Application
FET Circuit Models
MOSFET Switching Circuits
Op-Amp Circuit Design and Application
SCR Circuit Design and Application
Sine Wave Oscillator Theory & Wien Bridge Circuits","Analyse typical diode circuits.
Demonstrate a core knowledge of BJT and FET based amplifiers and their d.c./a.c equivalent circuits.
Differentiate between the ideal and non-ideal characteristics of operational amplifiers
Develop fundamental linear operational amplifier circuit designs.
Analyse typical SCR based power control circuits
Explain fundamental oscillator theory
Perform practical tasks such as building, testing and documenting analogue circuits",
A04589,Analogue Circuit Design,Analogue Circuit Design,5,Advanced,"This module covers analogue circuit design techniques and sensor and transducer signal conditioning circuits. 1. Introduction to modern analogue sensors, transducers and their characteristics 2. Analogue circuit design techniques with emphasis on transducer signal conditioning, bridge circuits, etc. 3. Analogue-to-Digital and Digital-to-Analogue converter fundamentals and architectures 4. Basic introduction to mixed signal system-on-chip and IoT signal processing hardware platforms",Engineering Technology,"Introduction to analogue sensors and transducers (temperature, humidity, strain, pressure, magnetic, output transducers, relays, etc
Bridge sensor configurations (single, dual, quad, linear pot, active, centre tapped)
Analogue circuit design and signal conditioning for sensor applications (bridge excitation, ratiometric operation, operational amplifier types and specifications, instrumentation amplifiers, isolation amplifiers, cmv, cmr)
Introduction to A/D and D/A converters (fundamentals, types, architectures, operation, characteristics, errors, signal sampling)
Introduction to mixed signal system-on-chip and IoT hardware (e.g. PSoC-4 BLE, Arduino, Raspberry Pi, mBed, Waspmote, etc)
Circuit design and simulation skills using analogue and mixed mode (AMS) simulation CAD tools
Design, build and test of a sensor system through the mini-project assessment element of the module","Compare and contrast the various types of sensors and bridge sensor configurations and analyse their performance characteristics
Solve a variety of sensor design problems by applying appropriate analogue signal conditioning solutions
Compare and contrast the operation and characteristics of different data converter architectures and evaluate key performance parameters
Appraise mixed-signal System-on-Chip devices (e.g. PSoC) and IoT sensor technology hardware
Design and analyse various analogue and mixed signal circuits using Spice simulation software
Design, simulate, build, & test a basic sensor system using a mixed signal hardware platform","Fail (<40%): Unable to interpret and specify key concepts of sensor technology, signal conditioning, or programmable sensor hardware.
Pass (40% - 49%): Able to interpret and specify the key concepts of sensor technology, signal conditioning, or programmable sensor hardware.
Second Class Honours - Grade 2 (50% - 59%): Ability to specify key concepts of sensor technology, signal conditioning circuitry and programmable sensor hardware by demonstrating an ability to locate and utilise this knowledge within a broader mixed signal design environment.
Second Class Honours - Grade 1 (60% - 69%): Be able to solve sensor design problems, analyse sensor technology, signal conditioning circuitry, or programmable hardware and demonstrate an ability to deploy this knowledge within a broader mixed signal design environment.
First Class Honours (70% - 100%): All the above to an excellent level. Be able to analyse and design solutions to a high standard for a range of both complex and unforeseen problems through the use of appropriate skills and tools. An ability to synthesise solutions to problems should be evident here."
A04604,Embedded Firmware,Embedded Firmware,5,Advanced,"This module builds on concepts introduced in Embedded Systems Architecture & Hardware module. It covers the programming of high performance embedded processor systems using C and assembly language. Software development tools are extensively used with the main emphasis being on application development, testing, debugging and verification.",Engineering Technology,"Architecture of Embedded Systems and programming model.
Instruction set and assembly language programming.
Subroutines, parameter passing, and good programming practice
Exceptions and interrupts, Vectored Interrupt controller (VIC), C and assembly language constructs for Structured Programming.
APCS compliant modules , Mixed programming/translation in C and assembly
Polling and interrupt driven I/O, accessing and programming I/O devices, timer devices.
Software development tools, Application Programming Interface (API), libraries.
Program design, modular programming, testing, debugging and verification, documentation and maintenance","Demonstrate knowledge and understanding of processor's instructions and its peripheral devices
Create programs in Assembly language, C language and mixed languages using APCS standard
Analyse and translate C language software into Assembly language and vice-versa
Design application programs, and document it, in C/Assembly language using structured and modularised approaches
Use software development tools to write, compile, test and debug programs
Create and use software libraries and API",
A04921,The Computer Industry,The Computer Industry,5,Introductory,"The aim of this module is to introduce the student to the nature, structure, operating environment and markets of the major branches of the computer industry.",Computing and Mathematics,"Introduction and Overview
Structure and organisation of the computing industry
Marketing of high-technology products
Market dynamics of the Computer Industry
Intellectual Property Rights","Describe the organisational structure of key computer industry sectors.
Examine the macro and micro-environmental factors that impact the computer industry.
Examine the marketing strategies adopted by a company in the computer industry.
Distinguish between the various forms of intellectual property rights.
Express ideas and information clearly in visual, oral and written forms through in-class activities.","<40%: Unable to interpret and describe key concepts of the computing industry.
40%-49%: Be able to interpret and describe key concepts of the specific knowledge domain(s).
50%-59%: All the above and in addition demonstrate the ability to discuss key concepts of the computing industry and ability to discover and integrate related knowledge in other knowledge domains.
60%-69%: In addition, be able to solve problems within the computing industry by experimenting with the appropriate skills and tools.
70%-100%: 1: All the above to an excellent level. Be able to analyse and design solutions to a high standard for a range of both complex and unforeseen problems through the use and modification of appropriate skills and tools."
A05076,Small Enterprise Management,Small Enterprise Management,5,Intermediate,To familiarise students with the key concepts and business theories relating to starting your own business within an Irish context.,Science,"Business entity: sole trader, partnership, limited company or co-operative
Evaluate a new business idea: market research, interpreting research results; define what and where is the market; the importance of market conditions and trends
Principles of marketing: product, price, distribution and promotion, unique selling point, SWOT analysis
Financial issues relating to a small business: equity and debt, source of finance, financial records, profit and loss account, balance sheet
Taxation: general tax issues, corporation tax, self assessment, income tax, calculating taxable profits, PAYE/PRSI; contractors tax clearance and C2 certificate
Human resource management: CV's, job description, recruiting, interviewing techniques, employment legislation, contract of employment, managing staff","Distinguish the main types of business entity.
Examine a new business idea and develop a business strategy.
Analyse the marketing of a specific product or a range of products.
Determine the basic financial issues facing small businesses.
Determine the tax issues relating to a start-up business.
Examine the issues relevant to human resource management.","<40%: Very limited knowledge and understanding of the subject matter. Lacking in technical ability/skill and understanding to carry out practical/professional tasks. Failure to meet the objectives of projects. Unable to carry out or submit independent study and research.
40%-49%: Demonstrate a limited knowledge of the subject matter. Show some technical ability/skill in carrying out and reporting on practical/professional tasks. Attempt made to meet objectives and carry out independent study and research. Final result lacks balance and arguments undeveloped.
50%-59%: Demonstrate satisfactory general knowledge of the main issues within the subject. Logically and competently carry out practical/professional tasks. Satisfactory handling and awareness in carrying out independent study and research. Reporting and projects adequately structured and referenced.
60%-69%: Demonstrate sound knowledge of the subject matter. Show ability to analyse and logically argue in an effective and mature style. Demonstrate initiative and the ability to criticise methods used and appreciation of experimental design when carrying out practical/professional tasks. Projects and reporting coherent and soundly structured illustrating wide and in depth reading on subject coupled with the proper use of references.
70%-100%: Demonstrate authoritative handling of complex material and a highly developed and extensive understanding of the subject. Provide well focused analysis and convincing argument on the subject. Demonstrate imaginative approach, excellent technical ability, awareness, and aptitude in carrying out and reporting on practical/professional tasks. Show initiative, individual thought, and enthusiasm in self study and independent learning."
A05133,Electronic Engineering Project Implementation,Elec Eng Proj Implementation,10,Advanced,"This module follows on from Project Specification described in the previous semester outline. The student has thus already identified the particular challenges to be overcome and milestones to be achieved in this semester. Because the background work has already been covered through the literature research and the early project efforts, this semester should produce significant advances in terms of attaining the final goal. The work is then faithfully represented in a thesis, which shall include an accurate and concise description of the context, the challenge, the solution and the result of the particular problem posed. All work shall be the student's unless specifically stated otherwise through citation.",Engineering Technology,"Projects are selected in collaboration with industry, based on research themes carried out by researchers at postgraduate level, in collaboration with other academic institutions and on occasion at the suggestion of the student themselves.
Literature Research (Periodicals, IEEE search engines, Internet)
Project Management (appraise the problem, break into constituent parts, identify milestones, based on time, difficulty, other resources available and overall ability to achieve the goals)
Early Milestones
Presentation through seminar / report on progress","Confirm an ability to set and meet achievable milestones
Transform the background and contextual knowledge of the previous semester into real progress in terms of knowledge and ability in the project area.
Defend a chosen course of action, based on rational reasoning, resources and abilities
Present a project context, status quo and achieved outcome to peers and staff in an open forum/seminar
Accurately and faithfully represent their work in a project report, acknowledging where it occurs the presence and level of input of others
Maintain a professional relationship with the supervisor and maintain a log of meetings.","70% - 100%: The learner has: attained the module learning outcomes at an excellent level; demonstrated a comprehensive knowledge of the associated subject matter; achieved an excellent level of the skills required for the subject matter; demonstrated the ability to carry out further investigation and problem solving associated with the subject matter.
60% - 69%: The learner has: attained the module learning outcomes at a very good level; demonstrated a detailed knowledge of the associated subject matter; achieved a very good level of the skills required for the subject matter.
50% - 59%: The learner has: attained the module learning outcomes at a good level; demonstrated a good knowledge of the associated subject matter; achieved a good level of the skills required for the subject matter.
40% - 49%: The learner has: attained the module learning outcomes at a basic level; demonstrated a basic knowledge of the associated subject matter; achieved a basic level of the skills required for the subject matter.
<40%: The learner has not: attained the module learning outcomes; demonstrated sufficient knowledge of the associated subject matter; demonstrated a sufficient level of the skills required for the subject matter."
A14165,Pipeline Design Concepts,Pipeline Design Concepts,5,Introductory,"This module provides the students with an introduction to the practical processes for realizing and integrating pre-production assets within the production pipeline. It exposes the student to the concepts and themes of the creative process and the interdisciplinary nature of the workflow phases. The theories and processes underlying the creative process are examined, while emphasis is placed on the practical realization of concept assets through the production of a digital animatic.",Computing and Mathematics,"Story Telling: Writing; The Process of Scipt-writing; Elements of story telling; Narrative construction; Dialogue
Character Design and Development
The Language of Film, Cinematography
Storyboarding: Fundamentals; Technical Structure; Components and Functions; Case Studies; Script to Storyboard Realisation
Call Sheets: Purpose and Overview
Animatic: Timing, Creation of a basic digital Animatic from existing assets
Production: Scene Selection and Setup
Digitisation Process","Identify and recognise the conceptual themes relating to Story telling, Script-writing, Story-boarding and Character Development.
Identify and recognise the key elements of Cinematography for story telling.
Interpret and identify the Production Pipeline phases.
Complete an animatic using industry standard software.","<40%: Unable to interpret and demonstrate key concepts of the production pipeline.
40%-49%: Be able to interpret and demonstrate key concepts in the production pipeline.
50%-59%: Ability to interpret key concepts of the production pipeline and ability to discover and integrate related knowledge in other knowledge domains.
60%-69%: Be able to solve problems using the production pipeline process skills by experimenting with the appropriate skills.
70%-100%: All the above to an excellent level. Be able to analyse and design solutions to a high standard for a range of both complex and unforeseen problems through the use and modification of appropriate skills."
A14167,Programming Fundamentals - ICT,Programming Fundamentals - ICT,10,Introductory,"This module will introduce the student to fundamental programming techniques. The student will learn how to design algorithms using pseudocode, write small applications based on their designs and test their written applications. It assumes no prior knowledge of technology, programming languages or programming environments. Using basic techniques, the student should gain confidence in producing small applications. The module will alsofurther develop the thought processes, problem solving techniques and programming structures essential for developing larger systems responsible for more complex tasks. The module will focus on developing maintainable, robust, persistent applications that are consistent with user experience (UX) best practice.",Computing and Mathematics,"Problem solving approaches
Control structures for programming
Programming language constructs
UX approaches using data-entry validation and error recovery
Hands-on debugging, testing and documentation activities
Use of innovative visualisation tools, IDEs and frameworks
Introduction to industry accepted standards specific to the programming language
Use of complex constructs and data structures associated with the chosen language
Introduction to UX
Programming for persistence
Programming techniques for well-behaved, robust applications
Read, understand and consume API specific to the chosen language
Use of innovative visualisation tools, IDEs and frameworks","Apply core problem solving approaches suitable to the programming discipline to build algorithms.
Construct small applications using standard sequence, conditional and iterative control structures.
Change and expand small applications.
Construct small applications that use simple UI, computation and data structures.
Apply techniques to effectively test, debug and document small applications.
Defend and explain how the above applications work.
Apply problem-solving strategies to various computing problems of increasing complexity.
Plan, code, test and document applications using advanced programming constructs and data structures.
Construct applications consistent with UX best practice.
Construct persistent applications.
Apply maintainability and robustness when designing applications.","<40%: Inability to design, develop and test maintainable, persistent, robust UX applications to solve a particular problem.
40%-49%: Ability to design, develop and test maintainable, persistent, robust UX applications to solve a straight-forward problem.
50%-59%: Comfortable with designing, developing and testing maintainable, persistent, robust UX applications to solve problems similar to those presented in the module.
60%-69%: Proficient with designing, developing and testing maintainable, persistent, robust, high-quality UX applications to solve complex problems.
70%-100%: Proficient with designing, developing and testing maintainable, persistent, robust, high-quality, elegant UX applications to solve complex problems that are substantially different to those studied in the module."
A14168,Mobile Application Development - ICT,Mobile App Development - ICT,10,Advanced,"Design, build and deploy a multi-screen mobile application incorporating an intuitive and efficient navigation mechanism. Structure the implementation using accepted best-practice with respect to patterns, frameworks and tools. Incorporate localised persistence models + simple access to remote services. Introduce context services such as location/camera and/or other sensor access. Evolve a multi-screen mobile application into a networked, message driven, context aware application. Incorporate in the application two-way access to remote REST (Representational State Transfer) and Messaging services. Integrate on-device context including camera, location, motion, climate and other sensors to deliver a rich user experience. Incorporate 3rd party components to deliver personalized mapping, media and general information services.",Computing and Mathematics,"Application Structure: Components; Resources; Security; General Assets
User Experience: UX (User Experience) Principles, Navigation, Imagery, Fonts
Simple User Interaction Patterns
Essential Application Structure Patterns: Appropriate Variations on Model/View/Controller (MVVM (Model--view--viewmodel), MVP (Model--view--presenter) etc.)
Resource access and management; Clean separation of concerns
Application Life-cycle: Startup/shutdown; Foreground/background
UI (User Interface) State Preservation and Restoration; Concurrency
Advanced application architectural patterns
The build, test & deploy lifecycle
Accessing Platform Services: Persistence; Sensors / Subsystems (e.g. Location, camera, movement etc.)
Accessing External Services: Access Patterns (e.g. REST); Third Party Applications & Components
Build Processes: Dependency Management; Build Scripts (e.g. Gradle)
Wireless Subsystem APIs (Application Programming Interface)
App Store interaction, including key management","Decompose an application into its constituent parts, including but not limited to: core application components, user experience resources, packaging.
Design a coherent User Experience - using appropriate tools, practices and guidelines - for a moderately sized application.
Produce a medium sized application, based on a limited set of design patterns.
Manage the application lifecycle.
Structure persistent storage on a device and reliably save and restore application state.
Select the appropriate design patterns and tools in the development of complex mobile apps.
Comment on the chosen mobile app framework and the underlying hardware components.
Design and develop complex multi-screen mobile apps from concept through to completion using best practices and guidelines.
Set up the interaction of an application with internal sensors and physical subsystems.
Integrate a remote service API within an application, perhaps based on REST principles, to deliver aspects of its core features set. For example: Maps/GIS (Geographic Information Systems), Media Sharing, Social Networking.","<40%: Unable to implement a basic application. Cannot grasp fundamentals of the application lifecycle or operate an appropriate IDE (Integrated Development Environment).
40%-49%: Be able to implement at simple application, with 2-3 separate views/activities.
50%-59%: Understand the basic of the application lifecycle and operate an IDE at a basic level. Ability to model and implement an application of moderate complexity -- including > 3 views + a simple persistence mechanism.
60%-69%: Be able to use an IDE competently and degug applications. Be able to implement a reasonably sophisticated application with multiple view / navigation mechanisms. The application will have local persistent storage and be able to interact with a remote service as a basic level (read only say).
70%-100%: All the above to an excellent level. Be able to build an application that can access on device sensors / subsystems (e.g. location or camera)."
A14171,Legal Principles of Computer Forensics,Legal Prin of Comp Forensics,5,Introductory,"This module aims to enable students to gain a detailed knowledge and understanding of the Irish Legal System along with a clear and concise account of the fundamental principles of computer forensics law. As part of their studies, students will gain a detailed knowledge and understanding of the general principles of many diverse areas of law that apply to computer forensics. Students will gain a detailed knowledge of Criminal Law, especially as it relates to Computer Forensics. The various computer based criminal offences pursuant to legislation will be analysed. This module will also aim to enable students to study and demonstrate competence in the relevant rules of evidence with particular emphasis on gathering electronic evidence. The use and admissibility of electronic evidence in proceedings. The legal responsibilities placed on forensic investigators during the conduct of their investigation. This module will also ensure that students may confidently handle, analyse and apply Domestic, English, EU and USA Law to Computer Forensics and enable students to evaluate the role of the law and legal policy to the dynamic and rapidly changing world of Computer Forensics.",Computing and Mathematics,"Introduction to the Irish Legal System
Cybercrime
Laws of Evidence
E-Discovery in Ireland
Data Protection
Data Retention
Money Laundering
Strict Liability
Mens Rea
Principles of Criminal Liability
Garda, Revenue & Bureaus
Criminal Assets Bureau & the Proceeds of Crime
Offences under the Criminal Damage Act 1991","Discuss the various principles that make up the jurisprudence relating to the Legal Principles of Computer Forensics and will be able to articulate their understanding in class.
Demonstrate sound techniques of legal reasoning and analysis; for example students will be able to apply legal principles of Criminal Law to complex real life criminal/legal situations such as Offences under the Criminal Damage Act 1991.
Demonstrate sound techniques in dealing with Irish, English, EU and USA legal and quasi legal materials, especially in interpretation and application of those materials.
Deal with conceptual theories and concepts underpinning the new jurisprudence of Legal Principles of Computer Forensics; for example students will draw on their knowledge gained in this subject and apply it to new developing situations such as computer crime.
Collect information from primary sources (e.g. law reports and relevant legislation) and non-traditional sources (e.g. WWW) and apply it to problem situations.","<40%: Unable to demonstrate a basic understanding of the legal principles of computer forensics Law.
40%-49%: Average demonstration of the above criteria, yet lacking the insight and critique to demonstrate the students fluency with relevant theory and legal principles.
50%-59%: All of the above and in addition an attempt at criticism and insight. Attempt to demonstrate the applicability of the relevant principles.
60%-69%: In addition, very good attempt at critiquing and demonstrating the reform and tensions in the area in a clear and logical structure.
70%-100%: All of the above at an exceptional level meeting and excelling at all the criteria."
A14173,ICT Skills Studio,ICT Skills Studio,5,Intermediate,"Continue to develop the students' programming skills with a particular focus on modern web development tools, frameworks and applications. A strong emphasis industry best practice - with close attention software configuration management tools. The Studio will also support a forum for talks and seminars from industry on technology trends and work practices.",Computing and Mathematics,"Consolidating programming principles & practices
Elementary algorithms & data structures
Web development applications design & implementation
Server side and client side aspects of web wevelopment
Current trends in software development technology","Construct a simple but robust server-rendered web application.
Differentiate the role of the client and server in this context.
Break a problem domain into a series of discrete features.
Manage the assets of a project in a configuration management environment.","<40%: Unable to interpret, describe or implement key components of a simple web application.
40%-49%: Be able to construct a minimal web application, incorporating server side rendering.
50%-59%: Design and implement a web application including basic database and session support.
60%-69%: All of the above including a simple model of the application structure.
70%-100%: All the above to an excellent level. Incorporate Unit Tests for a specific subset of an application."
A14175,Forensic Accounting and Fraud Audit,Forensic Acc & Fraud Audit,5,Introductory,"In this module students are introduced to the theoretical perspectives underpinning fraudulent behaviour in a business context. The module identifies the role of the forensic accountant/fraud auditor and examines an array of fraud deterrence and detection techniques with particular emphasis on financial statement fraud. This module focuses on providing a general view of accounting and audit principles, focusing on financial investigation and internal control. Through case studies, common risks that increase the possibility of fraudulent behaviour and associated red flags are examined.",Computing and Mathematics,"Theories explaining fraud and behavioural aspects including The Fraud Triangle
The role of forensic accounting/fraud auditing and how this compares and contrasts with the roles and responsibilities of internal and external auditors
Types of fraud as illustrated by the fraud tree including skimming, payroll schemes, cash larceny, billing schemes, inventory schemes and financial statement fraud. Indicators of common fraud types and how opportunities for each fraud arise
Money Laundering prevention and detection
Fraud prevention techniques including governance mechanisms and internal control
Tools and techniques that may be utilised during fraud investigations including CAATs, data mining, interviews and analytical procedures
Reporting and documentation of fraud investigations","Discuss the dominant theoretical principles of fraudulent behaviour in the context of corporate fraud.
Explain the roles and responsibilities of forensic accountants/fraud auditors and how these differ from internal and external auditors.
Describe common fraud types including red flags.
Discuss the controls and procedures that can assist in the prevention of fraud.
Identify and explain appropriate tools and techniques used during fraud investigations.
Evaluate case studies and scenarios drawing on the multi-dimensional aspects covered throughout the module.","<40%: Descriptive level of discussion, showing lack of evidence of the underpinning knowledge. No evidence of linking theory to practice.
40%-49%: Limited consideration, discussion and reflection of main points and concepts addressed.
50%-59%: Consideration and limited analysis of main points and concepts. Limited discussion and reflection, but showing a clear grasp of the underlying principles. Some evidence of theory to practical integration.
60%-69%: Address and analyse the main points and show clear evidence of a good grasp of the underlying knowledge.
70%-100%: Demonstrates good structure and clarity of thought. Good level of critical analysis, originality of thought and comprehensive knowledge base. Good critical evaluation and synthesis of relevant issues, showing an ability to integrate theory to practice."
A14181,Software Validation and Evolution,SW Validation and Evolution,5,Advanced,This module aims to provide students with fundamental knowledge and skills related to software validation and verification.,Computing and Mathematics,"Validation planning
Testing fundamentals, including test plan creation and test cases
Black-box and white-box testing techniques, reviews, and static analysis techniques
Unit, integration, validation, performance, regression, and system testing
Object-oriented testing
Inspections
Software mainteneance, reuse and versioning","Compare and explain testing approaches based on their types, methods and levels.
Compare and explain the validation and verification processes.
Produce a test plan for a small- or medium-size project.
Design and perform manual and automated tests using relevant tools.","<40%: Unable to interpret and describe key concepts of the specific knowledge domain(s).
40%-49%: Be able to interpret and describe key concepts of the specific knowledge domain(s).
50%-59%: Ability to discuss key concepts of the specific knowledge domain and ability to discover and integrate related knowledge in other knowledge domains.
60%-69%: Be able to solve problems within the specific knowledge domain(s) by experimenting with the appropriate skills and tools.
70%-100%: All the above to an excellent level. Be able to analyse and design solutions to a high standard for a range of both complex and unforeseen problems through the use and modification of appropriate skills and tools."
